timestamp,open_1d,high_1d,low_1d,close_1d,volume_1d,open_4h,high_4h,low_4h,close_4h,volume_4h,open_1h,high_1h,low_1h,close_1h,volume_1h
2025-01-28 00:00:00,5.9476,6.0288,5.601,5.6474,321185.80970996,5.9476,6.0013,5.875,5.9718,36924.88427279,,,,,
2025-01-28 04:00:00,,,,,,5.9738,6.0288,5.9181,5.9192,38412.23428017,,,,,
2025-01-28 08:00:00,,,,,,5.9273,5.9646,5.8899,5.9203,54856.29746063,,,,,
2025-01-28 12:00:00,,,,,,5.9256,5.9474,5.82,5.8904,45070.33831724,,,,,
2025-01-28 16:00:00,,,,,,5.8957,5.8959,5.7466,5.803,35346.29063879,,,,,
2025-01-28 20:00:00,,,,,,5.8001,5.8198,5.601,5.6474,110575.76474034,,,,,
2025-01-29 00:00:00,5.6464,5.8747,5.5474,5.7609,248027.65456582,5.6464,5.7941,5.6352,5.7771,52983.22580407,,,,,
2025-01-29 04:00:00,,,,,,5.7742,5.8435,5.7607,5.8435,35210.21764849,,,,,
2025-01-29 08:00:00,,,,,,5.8168,5.8401,5.7008,5.7255,18598.93311283,,,,,
2025-01-29 12:00:00,,,,,,5.7306,5.742,5.6047,5.6422,45407.16342886,,,,,
2025-01-29 16:00:00,,,,,,5.6435,5.8136,5.5474,5.7606,56372.33570512,,,,,
2025-01-29 20:00:00,,,,,,5.7559,5.8747,5.6805,5.7609,39455.77886645,,,,,
2025-01-30 00:00:00,5.775,6.2515,5.7263,6.1237,427968.36369683,5.775,5.9564,5.7263,5.9471,120701.54823739,,,,,
2025-01-30 04:00:00,,,,,,5.9564,5.9832,5.8958,5.9088,22985.51951588,,,,,
2025-01-30 08:00:00,,,,,,5.9353,6.011,5.8998,6.0082,35395.81606476,,,,,
2025-01-30 12:00:00,,,,,,6.0107,6.2515,5.9849,6.2115,132246.99372375,,,,,
2025-01-30 16:00:00,,,,,,6.2166,6.2485,6.1336,6.1773,80797.56450201,,,,,
2025-01-30 20:00:00,,,,,,6.1824,6.2065,6.1112,6.1237,35840.92165304,,,,,
2025-01-31 00:00:00,6.1238,6.4958,6.0338,6.3164,484989.34297465,6.1238,6.18,6.0341,6.0665,38106.15299322,,,,,
2025-01-31 04:00:00,,,,,,6.0621,6.3072,6.0338,6.2156,62582.89881834,,,,,
2025-01-31 08:00:00,,,,,,6.2127,6.3082,6.139,6.3069,34614.26225423,,,,,
2025-01-31 12:00:00,,,,,,6.2991,6.4802,6.2919,6.4703,77373.11928072,,,,,
2025-01-31 16:00:00,,,,,,6.4671,6.4958,6.235,6.2668,119384.03853223,,,,,
2025-01-31 20:00:00,,,,,,6.2494,6.4468,6.1911,6.3164,152928.87109591,,,,,
2025-02-01 00:00:00,6.3181,6.4855,5.9122,5.9122,287197.51763369,6.3181,6.4359,6.2944,6.3915,39368.81224338,,,,,
2025-02-01 04:00:00,,,,,,6.392,6.4855,6.3472,6.4079,29349.97118805,,,,,
2025-02-01 08:00:00,,,,,,6.4064,6.4281,6.2492,6.3984,23804.42881562,,,,,
