datetime,timestamp,open,high,low,close,vwap,volume,count
2025-04-04 04:00:00,1743739200.0,115.4,115.4,114.71,114.98,115.11,6121.86988162,316.0
2025-04-04 05:00:00,1743742800.0,114.99,116.5,114.72,116.5,115.67,3376.90029898,387.0
2025-04-04 06:00:00,1743746400.0,116.51,116.81,116.04,116.07,116.51,3580.59286906,293.0
2025-04-04 07:00:00,1743750000.0,116.07,118.24,116.03,118.14,117.86,6982.04709519,590.0
2025-04-04 08:00:00,1743753600.0,118.16,119.09,118.12,118.92,118.69,18016.24390227,1097.0
2025-04-04 09:00:00,1743757200.0,118.9,119.88,118.54,119.6,119.2,8978.59573196,548.0
2025-04-04 10:00:00,1743760800.0,119.61,119.71,114.88,114.92,116.91,30095.25782082,1247.0
2025-04-04 11:00:00,1743764400.0,115.0,115.44,113.29,114.61,113.96,72016.93206162,1349.0
2025-04-04 12:00:00,1743768000.0,114.53,116.31,114.01,115.48,114.98,8085.43440691,658.0
2025-04-04 13:00:00,1743771600.0,115.56,116.63,114.14,116.44,115.45,3698.63802896,662.0
2025-04-04 14:00:00,1743775200.0,116.43,117.66,115.32,117.47,116.31,9864.37316982,978.0
2025-04-04 15:00:00,1743778800.0,117.37,120.89,117.36,118.62,119.28,35695.08763874,1819.0
2025-04-04 16:00:00,1743782400.0,118.56,122.71,118.28,121.72,120.27,20655.25687291,1218.0
2025-04-04 17:00:00,1743786000.0,121.74,123.77,119.73,123.04,122.37,68965.15905974,2161.0
2025-04-04 18:00:00,1743789600.0,123.09,123.12,121.39,121.66,122.23,8233.12445237,676.0
2025-04-04 19:00:00,1743793200.0,121.67,122.95,121.36,122.61,122.46,4380.21519949,523.0
2025-04-04 20:00:00,1743796800.0,122.66,123.79,121.71,123.32,123.16,9965.62926879,687.0
2025-04-04 21:00:00,1743800400.0,123.39,123.94,122.91,123.11,123.47,19271.72583897,1420.0
2025-04-04 22:00:00,1743804000.0,123.11,123.83,122.87,123.33,123.09,25596.1104576,2035.0
2025-04-04 23:00:00,1743807600.0,123.3,123.33,122.02,122.74,122.6,4856.74089299,459.0
2025-04-05 00:00:00,1743811200.0,122.75,122.82,121.83,122.2,122.28,3151.46038192,362.0
2025-04-05 01:00:00,1743814800.0,122.19,122.68,121.63,121.81,122.31,1276.20922492,252.0
2025-04-05 02:00:00,1743818400.0,121.94,121.94,120.74,121.01,121.26,4259.21984774,676.0
2025-04-05 03:00:00,1743822000.0,121.01,121.13,120.68,120.68,120.9,1231.82294641,278.0
2025-04-05 04:00:00,1743825600.0,120.69,121.28,120.38,120.6,120.64,3204.93906512,386.0
2025-04-05 05:00:00,1743829200.0,120.62,121.03,120.38,120.69,120.88,5862.49042841,690.0
2025-04-05 06:00:00,1743832800.0,120.67,121.06,120.17,120.64,120.68,6240.25458353,310.0
2025-04-05 07:00:00,1743836400.0,120.58,121.21,120.16,121.01,120.52,1435.87702949,226.0
2025-04-05 08:00:00,1743840000.0,121.04,121.4,120.68,121.11,121.08,5708.14837077,191.0
2025-04-05 09:00:00,1743843600.0,121.21,121.85,121.14,121.81,121.47,648.30642135,179.0
2025-04-05 10:00:00,1743847200.0,121.81,121.85,120.75,120.87,121.33,1421.22558089,269.0
2025-04-05 11:00:00,1743850800.0,120.9,120.99,119.85,120.21,120.34,11307.3761797,445.0
